index,sentence,trial_code,status,target,target_filename,competitor,competitor_filename,Distractor1,Distractor1_filename,Distractor2,Distractor2_filename,Distractor3,Distractor3_filename
1,He wants to know about the archer,di_archer,critical,archer,,arch,,robe,PICTURE_14.png,jellyfish,PICTURE_193.png,bagpipe,PICTURE_425.png
2,Ruth has a problem with the armor,di_armor,critical,armor,,arm,,fairy,PICTURE_7.png,scale,PICTURE_212.png,pistachio,PICTURE_410.png
3,They’re glad we heard about the axle,di_axle,critical,axle,,axe,,chin,PICTURE_6.png,waiter,PICTURE_726.png,mountain,PICTURE_407.png
4,We did not discuss the barrel,di_barrel,critical,barrel,,bear,,shoulder,PICTURE_5.png,compass,PICTURE_197.png,egg,PICTURE_423.png
5,The boy thought about the diamond,di_diamond,critical,diamond,,dime,,leg,PICTURE_8.png,printer,PICTURE_204.png,factory,PICTURE_412.png
6,I am thinking about the hammer,di_hammer,critical,hammer,,ham,,church,PICTURE_4.png,ankle,PICTURE_205.png,throne,PICTURE_420.png
7,Paul spoke about the needle,di_needle,critical,needle,,knee,,burger,PICTURE_11.png,seagull,PICTURE_220.png,comb,PICTURE_426.png
8,She wants to talk about the panda,di_panda,critical,panda,,pan,,shower,PICTURE_9.png,diaper,PICTURE_218.png,sock,PICTURE_416.png
9,The man spoke about the pilgrim,di_pilgrim,critical,pilgrim,,pill,,lion,PICTURE_15.png,zipper,PICTURE_223.png,cannon,PICTURE_437.png
10,You were interested in the sprinkler,di_sprinkler,critical,sprinkler,,spring,,bicycle,PICTURE_23.png,woman,PICTURE_239.png,curtain,PICTURE_418.png
11,You knew about the oasis,tri_oasis,critical,oasis,,ace,,pocket,PICTURE_39.png,pacifier,PICTURE_221.png,bird,PICTURE_430.png
12,The old man talked about the conductor,tri_conductor,critical,conductor,,duck,,hairbrush,PICTURE_43.png,wall,PICTURE_227.png,mitten,PICTURE_431.png
13,Jane has a problem with the pajamas,tri_pajamas,critical,pajamas,,jam,,screwdriver,PICTURE_46.png,train,PICTURE_226.png,bell,PICTURE_433.png
14,We spoke about the bikini,tri_key,critical,bikini,,key,,newspaper,PICTURE_61.png,paintbrush,PICTURE_224.png,thumb,PICTURE_438.png
15,Peter knows about the torpedo,tri_torpedo,critical,torpedo,,pea,,firefighter,PICTURE_48.png,giraffe,PICTURE_236.png,star,PICTURE_447.png
16,I did not know about the repairman,tri_repairman,critical,repairman,,pear,,button,PICTURE_64.png,eye,PICTURE_241.png,watch,PICTURE_452.png
17,They were interested in the papaya,tri_papaya,critical,papaya,,pie,,couch,PICTURE_67.png,mailman,PICTURE_242.png,rectangle,PICTURE_463.png
18,Mary knows about the eraser,tri_eraser,critical,eraser,,race,,candle,PICTURE_68.png,llama,PICTURE_232.png,mustache,PICTURE_494.png
19,We were discussing the intestine,tri_intestine,critical,intenstine,,test,,roof,PICTURE_66.png,puzzle,PICTURE_238.png,clothespin,PICTURE_467.png
20,He is thinking about the volcano,tri_volcano,critical,volcano,,cane,,trophy,PICTURE_71.png,acorn,PICTURE_228.png,square,PICTURE_472.png
21,He is a violinist in the orchestra,pred_orchestra,filler,orchestra,PICTURE_70.png,NA,NA,ball,PICTURE_732.png,salt,PICTURE_233.png,wardrobe,PICTURE_458.png
22,He cut the papers with scissors,pred_scissors,filler,scissors,PICTURE_453.png,NA,NA,hunter,PICTURE_16.png,plate,PICTURE_234.png,foot,PICTURE_455.png
23,She started typing on the computer,pred_computer,filler,computer,PICTURE_196.png,NA,NA,saw,PICTURE_52.png,light bulb,PICTURE_244.png,sausage,PICTURE_441.png
24,The queen lives inside of the castle,pred_castle,filler,castle,PICTURE_240.png,NA,NA,bag,PICTURE_53.png,root,PICTURE_245.png,pineapple,PICTURE_442.png
25,The musician sang into the microphone,pred_microphone,filler,microphone,PICTURE_28.png,NA,NA,shadow,PICTURE_55.png,pirate,PICTURE_265.png,fly,PICTURE_462.png
26,She took her temperature with a thermometer,pred_thermometer,filler,thermometer,PICTURE_192.png,NA,NA,banana,PICTURE_69.png,wagon,PICTURE_248.png,pyramid,PICTURE_457.png
27,He paired the red wine with cheese,pred_cheese,filler,cheese,PICTURE_72.png,NA,NA,wasp,PICTURE_62.png,brain,PICTURE_247.png,apron,PICTURE_476.png
28,He is a vegetarian so he won't eat meat,pred_meat,filler,meat,PICTURE_81.png,NA,NA,wave,PICTURE_72.png,choir,PICTURE_253.png,tank,PICTURE_621.png
29,On Thanksgiving his family eats turkey,pred_turkey,filler,turkey,PICTURE_19.png,NA,NA,balloon,PICTURE_75.png,shovel,PICTURE_255.png,rose,PICTURE_480.png
30,The rabbit ate the orange carrot,pred_carrot,filler,carrot,PICTURE_285.png,NA,NA,heart,PICTURE_83.png,lizard,PICTURE_252.png,circle,PICTURE_496.png
31,He eats the salad with a fork,pred_fork,filler,fork,PICTURE_673.png,NA,NA,camel,PICTURE_77.png,island,PICTURE_260.png,basket,PICTURE_487.png
32,He saw his reflection in the mirror,pred_mirror,filler,mirror,PICTURE_340.png,NA,NA,tractor,PICTURE_74.png,potato,PICTURE_249.png,coffin,PICTURE_497.png
33,Her tooth hurt so she went to the dentist,pred_dentist,filler,dentist,PICTURE_246.png,NA,NA,broccoli,PICTURE_76.png,lamppost,PICTURE_261.png,stairs,PICTURE_500.png
34,Stir your coffee with a spoon,pred_spoon,filler,spoon,PICTURE_564.png,NA,NA,helicopter,PICTURE_80.png,butcher,PICTURE_254.png,lightning,PICTURE_506.png
35,Let's decide by tossing a coin,pred_coin,filler,coin,PICTURE_383.png,NA,NA,park,PICTURE_82.png,baguette,PICTURE_258.png,shield,PICTURE_501.png
36,The dog chewed on a bone,pred_bone,filler,bone,PICTURE_24.png,NA,NA,mask,PICTURE_84.png,knot,PICTURE_267.png,sun,PICTURE_488.png
37,He killed the dragon with his sword,pred_sword,filler,sword,PICTURE_301.png,NA,NA,river,PICTURE_86.png,heel,PICTURE_266.png,pig,PICTURE_446.png
38,We're lost so let's look at the map,pred_map,filler,map,PICTURE_677.png,NA,NA,robot,PICTURE_87.png,hand,PICTURE_264.png,chicken,PICTURE_454.png
39,She shortened the hem of her skirt,pred_skirt,filler,skirt,PICTURE_199.png,NA,NA,crutch,PICTURE_88.png,bed,PICTURE_268.png,oil,PICTURE_456.png
40,We shipped the furniture by truck,pred_truck,filler,truck,PICTURE_535.png,NA,NA,seal,PICTURE_92.png,arrow,PICTURE_270.png,kangaroo,PICTURE_479.png
41,The king wore a golden crown,pred_crown,filler,crown,PICTURE_32.png,NA,NA,milk,PICTURE_96.png,drum,PICTURE_278.png,squirrel,PICTURE_484.png
42,The girl swept the floor with a broom,pred_broom,filler,broom,PICTURE_590.png,NA,NA,tiger,PICTURE_98.png,cape,PICTURE_275.png,avocado,PICTURE_477.png
43,He tossed the drowning man a rope,pred_rope,filler,rope,PICTURE_517.png,NA,NA,moon,PICTURE_90.png,chameleon,PICTURE_269.png,pizza,PICTURE_489.png
44,He hit me with a clenched fist,pred_fist,filler,fist,PICTURE_411.png,NA,NA,painting,PICTURE_99.png,wig,PICTURE_277.png,skunk,PICTURE_493.png
45,The doctor X-rayed his chest,pred_chest,filler,chest,PICTURE_231.png,NA,NA,feather,PICTURE_97.png,pomegranate,PICTURE_281.png,shoe,PICTURE_541.png
46,The duck swam with the white swan,pred_swan,filler,swan,PICTURE_528.png,NA,NA,mouth,PICTURE_91.png,limo,PICTURE_283.png,calculator,PICTURE_516.png
47,The airplane dropped a bomb,pred_bomb,filler,bomb,PICTURE_386.png,NA,NA,nose,PICTURE_100.png,tunnel,PICTURE_286.png,shepard,PICTURE_502.png
48,"It's getting dark, so light the lamp",pred_lamp,filler,lamp,PICTURE_414.png,NA,NA,drum set,PICTURE_101.png,rhinoceros,PICTURE_282.png,tongue,PICTURE_503.png
49,He wiped the sink with a sponge,pred_sponge,filler,sponge,PICTURE_650.png,NA,NA,hair,PICTURE_102.png,forest,PICTURE_288.png,underwear,PICTURE_545.png
50,The judge is sitting on the bench,pred_bench,filler,bench,PICTURE_449.png,NA,NA,deer,PICTURE_105.png,mime,PICTURE_303.png,telephone,PICTURE_509.png
51,The swimmer dove into the pool,pred_pool,filler,pool,PICTURE_362.png,NA,NA,elevator,PICTURE_104.png,birdcage,PICTURE_290.png,face,PICTURE_510.png
52,A termite looks like an ant,pred_ant,filler,ant,PICTURE_585.png,NA,NA,saxophone,PICTURE_107.png,trigger,PICTURE_291.png,box,PICTURE_508.png
53,She hated to vacuum the rug,pred_rug,filler,rug,PICTURE_491.png,NA,NA,calendar,PICTURE_108.png,dinosaur,PICTURE_293.png,lips,PICTURE_513.png
54,His pants were held up by a belt,pred_belt,filler,belt,PICTURE_165.png,NA,NA,green house,PICTURE_106.png,plumber,PICTURE_294.png,fox,PICTURE_521.png
55,Paul took a bath in the tub,pred_tub,filler,tub,PICTURE_747.png,NA,NA,desk,PICTURE_110.png,flag,PICTURE_295.png,walrus,PICTURE_529.png
56,They played a game of cat and mouse,pred_mouse,filler,mouse,PICTURE_1.png,NA,NA,fire,PICTURE_116.png,wing,PICTURE_307.png,clown,PICTURE_532.png
57,The cookies were kept in a jar,pred_jar,filler,jar,PICTURE_448.png,NA,NA,lung,PICTURE_112.png,ostritch,PICTURE_299.png,violin,PICTURE_566.png
58,Air mail requires a special stamp,pred_stamp,filler,stamp,PICTURE_57.png,NA,NA,lake,PICTURE_113.png,die,PICTURE_308.png,fingerprint,PICTURE_537.png
59,The bottle was sealed with a cork,pred_cork,filler,cork,PICTURE_409.png,NA,NA,fruit,PICTURE_114.png,envelope,PICTURE_310.png,turtle,PICTURE_531.png
60,I cut my finger with a knife,pred_knife,filler,knife,PICTURE_465.png,NA,NA,hippopotamus,PICTURE_115.png,flower,PICTURE_312.png,astronaut,PICTURE_539.png
61,The shepherd watched his flock of sheep,pred_sheep,filler,sheep,PICTURE_636.png,NA,NA,maze,PICTURE_121.png,ice cream,PICTURE_309.png,branch,PICTURE_536.png
62,He caught the fish in his net,pred_net,filler,net,PICTURE_346.png,NA,NA,chair,PICTURE_122.png,razor,PICTURE_311.png,lighthouse,PICTURE_540.png
63,She hears Bob asked about the piano,unpred_piano,filler,piano,PICTURE_626.png,NA,NA,horse,PICTURE_117.png,barber,PICTURE_313.png,Apple,PICTURE_552.png
64,He would think about the hot dog,unpred_hotdog,filler,hot dog,PICTURE_627.png,NA,NA,wound,PICTURE_118.png,perfume,PICTURE_314.png,bat,PICTURE_547.png
65,The boy can't talk about the scar,unpred_scar,filler,scar,PICTURE_207.png,NA,NA,lemon,PICTURE_129.png,UFO,PICTURE_315.png,puppet,PICTURE_554.png
66,I was considering the coat,unpred_coat,filler,coat,PICTURE_644.png,NA,NA,doll,PICTURE_128.png,leaf,PICTURE_318.png,shark,PICTURE_533.png
67,Bill might discuss the rifle,unpred_rifle,filler,rifle,PICTURE_645.png,NA,NA,sack,PICTURE_127.png,cow,PICTURE_319.png,bracelet,PICTURE_588.png
68,Nancy didn’t discuss the glasses,unpred_glasses,filler,glasses,PICTURE_733.png,NA,NA,corner,PICTURE_124.png,owl,PICTURE_323.png,breakfast,PICTURE_555.png
69,Bob has discussed the telescope,unpred_telescope,filler,telescope,PICTURE_699.png,NA,NA,kiwi,PICTURE_125.png,bra,PICTURE_331.png,snake,PICTURE_549.png
70,Ruth hopes he heard about the tree,unpred_tree,filler,tree,PICTURE_693.png,NA,NA,parachute,PICTURE_126.png,butter,PICTURE_335.png,syringe,PICTURE_594.png
71,Jane wants to speak about the bus,unpred_bus,filler,bus,PICTURE_273.png,NA,NA,rat,PICTURE_137.png,tomato,PICTURE_326.png,eyebrow,PICTURE_578.png
72,They had a problem with the shirt,unpred_shirt,filler,shirt,PICTURE_353.png,NA,NA,ghost,PICTURE_139.png,helmet,PICTURE_327.png,wolf,PICTURE_557.png
73,You heard Jane called about the fridge,unpred_fridge,filler,fridge,PICTURE_138.png,NA,NA,singer,PICTURE_131.png,present,PICTURE_338.png,caterpillar,PICTURE_561.png
74,We would consider the coffee,unpred_coffee,filler,coffee,PICTURE_666.png,NA,NA,sunflower,PICTURE_141.png,lock,PICTURE_349.png,vulture,PICTURE_563.png
75,Bill heard we talked about the battery,unpred_battery,filler,battery,PICTURE_656.png,NA,NA,faucet,PICTURE_140.png,night,PICTURE_342.png,cucumber,PICTURE_559.png
76,I had not thought about the prison,unpred_prison,filler,prison,PICTURE_623.png,NA,NA,olive,PICTURE_146.png,ruler,PICTURE_336.png,bull,PICTURE_570.png
77,He should know about the frog,unpred_frog,filler,frog,PICTURE_612.png,NA,NA,glass,PICTURE_142.png,monster,PICTURE_337.png,watermelon,PICTURE_560.png
78,I’m glad you heard about the plant,unpred_plant,filler,plant,PICTURE_611.png,NA,NA,trash can,PICTURE_145.png,flipper,PICTURE_341.png,beak,PICTURE_575.png
79,The man would not discuss the soldier,unpred_soldier,filler,soldier,PICTURE_317.png,NA,NA,pipe,PICTURE_148.png,bible,PICTURE_350.png,eggplant,PICTURE_573.png
80,Nancy had considered the harp,unpred_harp,filler,harp,PICTURE_605.png,NA,NA,keyhole,PICTURE_149.png,bell pepper,PICTURE_348.png,gloves,PICTURE_576.png
81,He can’t consider the chocolate,unpred_chocolate,filler,chocolate,PICTURE_593.png,NA,NA,puddle,PICTURE_150.png,butterfly,PICTURE_351.png,juggler,PICTURE_572.png
82,Tom discussed the magnet,unpred_magnet,filler,magnet,PICTURE_571.png,NA,NA,snail,PICTURE_152.png,goat,PICTURE_354.png,lab,PICTURE_582.png
83,She’s glad Jane asked about the toaster,unpred_toaster,filler,toaster,PICTURE_562.png,NA,NA,cigarette,PICTURE_153.png,spear,PICTURE_367.png,elephant,PICTURE_579.png
84,Bill hopes Paul heard about the iceberg,unpred_iceberg,filler,iceberg,PICTURE_577.png,NA,NA,domino,PICTURE_154.png,guitar,PICTURE_357.png,corn,PICTURE_587.png
85,We’re speaking about the asparagus,unpred_asparagus,filler,asparagus,PICTURE_581.png,NA,NA,bullet,PICTURE_155.png,car,PICTURE_358.png,toad,PICTURE_584.png
86,The class is discussing the zebra,unpred_zebra,filler,zebra,PICTURE_379.png,NA,NA,recorder,PICTURE_156.png,pot,PICTURE_369.png,iron,PICTURE_586.png
87,I’ve spoken about the pumpkin,unpred_pumpkin,filler,pumpkin,PICTURE_551.png,NA,NA,alligator,PICTURE_189.png,fan,PICTURE_368.png,towel,PICTURE_591.png
88,You’re glad they heard about the lighter,unpred_lighter,filler,lighter,PICTURE_558.png,NA,NA,wheelbarrow,PICTURE_160.png,dolphin,PICTURE_361.png,sled,PICTURE_625.png
89,The man could consider the door,unpred_door,filler,door,PICTURE_546.png,NA,NA,tie,PICTURE_161.png,hedgehog,PICTURE_365.png,lettuce,PICTURE_592.png
90,Bob could have known about the fence,unpred_fence,filler,fence,PICTURE_530.png,NA,NA,coconut,PICTURE_163.png,scorpion,PICTURE_370.png,window,PICTURE_597.png
91,He wants to talk about the house,unpred_house,filler,house,PICTURE_522.png,NA,NA,boomerang,PICTURE_209.png,cauliflower,PICTURE_373.png,koala,PICTURE_601.png
92,We heard they called about the kite,unpred_kite,filler,kite,PICTURE_535.png,NA,NA,shoelace,PICTURE_167.png,whale,PICTURE_724.png,funnel,PICTURE_633.png
93,She has known about the submarine,unpred_submarine,filler,submarine,PICTURE_514.png,NA,NA,back,PICTURE_169.png,lobster,PICTURE_378.png,cube,PICTURE_595.png
94,I want to speak about the baby,unpred_baby,filler,baby,PICTURE_507.png,NA,NA,road,PICTURE_164.png,gorilla,PICTURE_380.png,cloud,PICTURE_599.png
95,I should have considered the book,unpred_book,filler,book,PICTURE_505.png,NA,NA,goal,PICTURE_170.png,strawberry,PICTURE_381.png,dynamite,PICTURE_634.png
96,Ruth must have known about the boy,unpred_boy,filler,boy,PICTURE_499.png,NA,NA,parrot,PICTURE_172.png,stapler,PICTURE_387.png,cemetary,PICTURE_603.png
97,The man should discuss the boat,unpred_boat,filler,boat,PICTURE_482.png,NA,NA,pharmacy,PICTURE_173.png,chain,PICTURE_391.png,sweater,PICTURE_607.png
98,They heard I called about the gun,unpred_gun,filler,gun,PICTURE_461.png,NA,NA,salad,PICTURE_191.png,purse,PICTURE_388.png,umbrella,PICTURE_653.png
99,Bill cannot consider the tattoo,unpred_tattoo,filler,tattoo,PICTURE_413.png,NA,NA,mushroom,PICTURE_177.png,ballerina,PICTURE_399.png,pencil case,PICTURE_609.png
100,She hopes Jane called about the snow,unpred_snow,filler,snow,PICTURE_390.png,NA,NA,triangle,PICTURE_181.png,anchor,PICTURE_405.png,honey,PICTURE_610.png
101,We have discussed the painter,unpred_painter,filler,painter,PICTURE_175.png,NA,NA,witch,PICTURE_184.png,dragonfly,PICTURE_404.png,airport,PICTURE_617.png
102,Tom will discuss the bridge,unpred_bridge,filler,bridge,PICTURE_178.png,NA,NA,soccer ball,PICTURE_185.png,teapot,PICTURE_392.png,pelican,PICTURE_662.png
103,Bill can't have considered the city,unpred_city,filler,city,PICTURE_187.png,NA,NA,engine,PICTURE_186.png,fig,PICTURE_397.png,soap,PICTURE_619.png
104,Jane did not speak about the beard,unpred_beard,filler,beard,PICTURE_159.png,NA,NA,rain,PICTURE_190.png,steering wheel,PICTURE_398.png,cactus,PICTURE_640.png